{'log_n': 4.776516922898504, 'log_t': 1.6235656239905858}
{'log_n': 4.795760606817964, 'log_t': 2.073797256568238}
{'log_n': 4.651395438246766, 'log_t': 2.0760261775778406}
{'log_n': 5.210565788291242, 'log_t': 4.51703049847533}
{'log_n': 4.794844978372852, 'log_t': 2.6458547447412366}
{'log_n': 4.886415269831286, 'log_t': 1.9156351256758146}
{'log_n': 4.709774426299165, 'log_t': 1.9342848218552886}
{'log_n': 5.0149607926957485, 'log_t': 1.6301292290589653}
{'log_n': 4.953813784074365, 'log_t': 3.8138726577271655}
{'log_n': 4.653743939259135, 'log_t': 1.7633363872281798}
