demography_model 	sample_size_per_pop 	msprime_seed 	poolseq_depth 	poolseq_seed 	ploidy 	max_log_likelihoodtheta 	n_1_est 	n_2_est 	t_split_est 	mig_rate_est 	
two_pop_split	50	3	10	2	2	-15819.016146147542	1319.4933591888114	58234.54990002486	66396.57260233362	18355.81609758083	2.071502326177008e-06	
two_pop_split	50	1	10	2	2	-14268.043404905577	1833.9052380910346	11405.35106452195	29415.433911132895	4907.99624934809	3.0734382349336244e-06	
two_pop_split	50	3	10	1	2	-15100.143512307153	1775.6873264051417	39130.26926454101	38454.19886784557	22153.43509393687	5.328754304781622e-07	
two_pop_split	50	3	100	3	2	-18163.392432512188	1354.0084332665288	110600.65829886889	102096.36742644831	187712.1426811995	3.97548117638305e-06	
two_pop_split	50	1	40	3	2	-12607.504850927266	1585.5595095173544	135053.99648956562	84868.02443873987	20958.158390306857	2.564378871791428e-06	
two_pop_split	50	3	100	1	2	-5626.586433761563	2187.0363675390167	100700.52294670446	53110.64978462148	1610.9731248018732	5.65237898972705e-07	
two_pop_split	50	1	70	2	2	-6433.693396490839	2029.0748418883945	107290.95481652112	74609.54496176874	2926.0198557959993	2.828122280779368e-06	
two_pop_split	50	2	10	2	2	-17204.018567651656	1086.4530589922572	58115.01814623298	57472.024869992834	160478.690074489	5.274020892206542e-06	
two_pop_split	50	2	40	1	2	-9037.65250753698	1820.7669282568845	82718.67520982087	63193.70840577739	4591.8211221706815	3.038164789669417e-06	
two_pop_split	50	1	100	1	2	-5885.914801004607	2109.144902483152	157291.63084042657	67032.8046590192	2152.781960390129	2.641249339054823e-06	
two_pop_split	50	1	70	3	2	-6222.229530221861	2073.861918604622	74196.00674792174	72540.3865732773	2398.542305664077	2.3656756338160062e-06	
two_pop_split	50	2	40	2	2	-8726.560749847855	1909.604484821524	55022.14886155785	53282.8551989263	3525.7722830320363	1.8934768577337886e-06	
two_pop_split	50	1	40	2	2	-9560.976606546796	1865.582244947438	55124.34645755812	120023.02407732361	4666.689904023385	3.0269325430570004e-06	
two_pop_split	50	3	70	1	2	-6337.638533236164	2064.0949336596595	73689.42376504521	80636.48085740054	2672.0202571937166	4.3137891649944046e-07	
two_pop_split	50	3	40	2	2	-9757.102544754774	1772.2952893126076	73050.37642008736	148782.3295746472	6104.061748295169	3.2433038016086343e-06	
two_pop_split	50	2	70	1	2	-6105.02996395151	1987.2085218689463	87554.81299798706	62520.481813504295	2566.9407032959657	2.178353743563251e-06	
two_pop_split	50	3	70	3	2	-6452.26622792121	1975.9901942165675	105285.88928722999	129340.61371401839	3512.2125504269557	2.0290189873149827e-06	
two_pop_split	50	3	100	2	2	-5743.2927880351435	2188.2464734506657	52857.67254219925	80345.38440823212	1529.6433942791064	1.5806962459196173e-06	
two_pop_split	50	3	40	1	2	-9151.0218215614	1991.3712773182988	77677.4953741845	34834.71424731991	3067.6577897988213	2.1745436659018855e-06	
